"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213470.4",0,NA,NA,NA,NA,NA
"ENSG00000213471.10",0,NA,NA,NA,NA,NA
"ENSG00000213478.2",0,NA,NA,NA,NA,NA
"ENSG00000213480.3",0,NA,NA,NA,NA,NA
"ENSG00000213483.4",0,NA,NA,NA,NA,NA
"ENSG00000213484.2",0,NA,NA,NA,NA,NA
"ENSG00000213486.3",0,NA,NA,NA,NA,NA
"ENSG00000213487.3",0,NA,NA,NA,NA,NA
"ENSG00000213488.4",0,NA,NA,NA,NA,NA
"ENSG00000213489.3",0,NA,NA,NA,NA,NA
"ENSG00000213492.2",0,NA,NA,NA,NA,NA
"ENSG00000213493.3",0,NA,NA,NA,NA,NA
"ENSG00000213495.3",0,NA,NA,NA,NA,NA
"ENSG00000213498.3",0,NA,NA,NA,NA,NA
"ENSG00000213500.3",0,NA,NA,NA,NA,NA
"ENSG00000213509.4",0,NA,NA,NA,NA,NA
"ENSG00000213512.2",0,NA,NA,NA,NA,NA
"ENSG00000213512.3",0,NA,NA,NA,NA,NA
"ENSG00000213513.3",0,NA,NA,NA,NA,NA
"ENSG00000213514.2",0,NA,NA,NA,NA,NA
"ENSG00000213516.10",0,NA,NA,NA,NA,NA
"ENSG00000213516.9",0.754840185558751,-1.80433603374415,2.66171978336688,-0.67788354169341,0.497845536085585,NA
"ENSG00000213519.2",0,NA,NA,NA,NA,NA
"ENSG00000213522.4",0,NA,NA,NA,NA,NA
"ENSG00000213523.10",0.665147283575449,-1.56465796428955,2.88266309795085,-0.542782111930388,0.587279830859655,NA
"ENSG00000213525.3",0,NA,NA,NA,NA,NA
"ENSG00000213526.3",0,NA,NA,NA,NA,NA
"ENSG00000213527.5",0,NA,NA,NA,NA,NA
"ENSG00000213529.3",0,NA,NA,NA,NA,NA
"ENSG00000213530.3",0,NA,NA,NA,NA,NA
"ENSG00000213533.11",0.699119900345602,-1.62123044282204,3.02618629924782,-0.535733851952542,0.592142504257503,NA
"ENSG00000213533.12",0,NA,NA,NA,NA,NA
"ENSG00000213536.2",0,NA,NA,NA,NA,NA
"ENSG00000213538.5",0,NA,NA,NA,NA,NA
"ENSG00000213539.4",0,NA,NA,NA,NA,NA
"ENSG00000213540.3",0,NA,NA,NA,NA,NA
"ENSG00000213542.3",0,NA,NA,NA,NA,NA
"ENSG00000213543.2",0.190785707092222,-1.00868827222616,4.0804728567969,-0.247198868274783,0.804754321117426,NA
"ENSG00000213547.3",0,NA,NA,NA,NA,NA
"ENSG00000213548.3",0,NA,NA,NA,NA,NA
"ENSG00000213549.3",0,NA,NA,NA,NA,NA
"ENSG00000213551.7",0,NA,NA,NA,NA,NA
"ENSG00000213553.4",0,NA,NA,NA,NA,NA
"ENSG00000213556.3",0,NA,NA,NA,NA,NA
"ENSG00000213557.4",0,NA,NA,NA,NA,NA
"ENSG00000213558.3",0,NA,NA,NA,NA,NA
"ENSG00000213559.4",0,NA,NA,NA,NA,NA
"ENSG00000213560.4",0,NA,NA,NA,NA,NA
"ENSG00000213561.4",0,NA,NA,NA,NA,NA
"ENSG00000213563.6",0.179211827033882,-1.00868827222616,4.0804728567969,-0.247198868274783,0.804754321117426,NA
